,company Name,CIN,ROC Name,Date of Incorporation,Registered Address,Authorised Capital,Paid Up Capital,Date of Last AGM,Date of Latest Balance sheet,Company Status
533,TAYO IMPEX PRIVATE LIMITED,U93000MH2014PTC259244,RoC-Mumbai,12/11/2014,GROUNDFLOOR BHATIA NIWAS NEAR CENNTRAL CAMERA JIVAJI LANEFORT MUMBAI Mumbai City MH 400001 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
534,MILIND CHAUBAL ENTERPRISES PRIVATE LIMITED,U74999MH2014PTC259746,RoC-Mumbai,26/11/2014,H. NO - 553 SAPHALE (SAIKRUPA AT NARODA) POST - UMBERPADA(SAPHALE) TALUKA- PALGHAR PALGHAR EAST Thane MH 401102 IN,₹ 100000,₹ 100000,,,Active
535,REENA RAPID MEDI-TEX PRIVATE LIMITED,U33119GJ2008PTC055442,RoC-Ahmedabad,17/11/2008,SAN HOUSE OPP GANDHI ASHRAM ASHRAM ROAD AHMEDABAD Ahmedabad GJ 380009 IN,₹ 100000,₹ 0,,,Strike Off
536,ROYAL ELECTRICALS WORK PRIVATE LIMITED,U31908MH2012PTC229059,RoC-Mumbai,30/03/2012,14/18 NAVJIVAN COMM.PREM.CO-OP SOC DR. D.B.MARG MUMBAI CENNTRAL MUMBAI Mumbai City MH 400008 IN,₹ 500000,₹ 100000,06/09/2013,31/03/2013,Strike Off
537,CHETHAN ENGI TECH PRIVATE LIMITED,U29253TG2013PTC087052,RoC-Hyderabad,17/04/2013,PLOT NO.116 GROUND FLOOR NIZAMPET X ROAD SARDAR PATEL NAGAR KPHB COLONY HYDERABAD Hyderabad TG 500072 IN,₹ 100000,₹ 100000,,,Strike Off
538,TRUE AIRE CONCEPTS PRIVATE LIMITED,U29253TN2010PTC077533,RoC-Chennai,01/10/2010,NO 3 14 TH AVENUE BANU NAGAR PUDUR AMBATTUR CHENNAI Chennai TN 600053 IN,₹ 1000000,₹ 100000,30/09/2017,31/03/2017,Active
539,ANNAVARAM CONSULTANCY PVT. LTD,U74140TN1993PTC024292,RoC-Chennai,01/02/1993,"FLAT NO.1,16,RAJAJI ST,WEST MAMBALAM, MADRAS-600033 MADRAS-600033 Tamil Nadu INDIA",₹ 1000000,₹,,,STRIKE OFF
540,TULASI ELECTRICALS PRIVATE LIMITED,U31909TG2005PTC047034,RoC-Hyderabad,03/08/2005,RELANCE KRISHNA APTSG-2 ADARSH NAGAR HYDERABAD 029 029 Telangana INDIA,₹ 500000,₹,,,DORMANT
541,SHANDAR INTERIOR PVT LTD,U74140PN1994PTC078749,RoC-Pune,03/06/1994,ANURADHA APARTMENT 64 NAVI PETH L B SHASTRI ROAD PUNE Maharashtra INDIA 411030,₹ 10000000,₹ 9750000,,,ACTIVE
542,HIGH GREEN LAND DEVELOPMENTS LIMITED,U70102KA1996PLC019854,RoC-Bangalore,15/02/1996,"NO.75-76,COMMERCIAL STREET, BANGALORE KARNATAKA Karnataka INDIA 560001",₹ 25000000,₹ 7900800,,,ACTIVE
543,SHOCKLEY HALL ELECTRONICS PVT LTD,U32109WB1985PTC039416,RoC-Kolkata,30/08/1985,DN 3 SECTOR VSALT LAKE CITY KOLKATA West Bengal INDIA 700091,₹ 11000000,₹ 7855700,,,ACTIVE
544,TAURUS SYSTEMS AND SERVICES PRIVATE LIMITED,U30006TN1996PTC034877,RoC-Chennai,21/03/1996,"5/G/A,SHANTHITOWERS,88,ARCOT ROAD,VADAPALANI MADRAS 26 MADRAS 26 Tamil Nadu INDIA",₹ 600000,₹,,,STRIKE OFF
545,ADYA INFRABUILD PRIVATE LIMITED,U45400WB2010PTC151642,RoC-Kolkata,26/07/2010,74 LENIN SARANI KOLKATA WB 700013 IN,₹ 500000,₹ 100000,30/09/2017,31/03/2017,Active
546,SUMATI ELECTRONICS PRIVATE LIMITED,U29308UP1982PTC005857,RoC-Kanpur,01/12/1982,D-2 INDUSTRIALESTATE PRATAP PUR MEERUT U P Uttar Pradesh INDIA,₹ 6500000,₹ 6266200,,,ACTIVE
547,SYNTONIX SYSTEMS PRIVATE LIMITED,U30009KA1997PTC022288,RoC-Bangalore,28/05/1997,"311,RAHEJA CHAMBERS,12MUSEUM ROAD, BANGALORE BANGALORE Karnataka INDIA 560001",₹ 1000000,₹ 100000,,,DORMANT
548,CIS VEDA PRIVATE LIMITED,U51909DL2017PTC322247,RoC-Delhi,17/08/2017,Plot No.- 21 Second floor Aamarpli App Plot No. 56 Indra Prastha Extn. DELHI New Delhi DL 110092 IN,₹ 200000,₹ 200000,,,Active
549,OMEGA NANTIAN MACHINERY PRIVATE LIMITED,U29253PN2014PTC153005,RoC-Pune,05/11/2014,364+365/1 SRIRANG HOUSE J M ROAD SHIVAJINAGAR PUNE Pune MH 411005 IN,₹ 1000000,₹ 150000,29/09/2017,31/03/2017,Active
550,WAVETEK CONTROL SYSTEMS PRIVATE LIMITED,U29253PN2013PTC147293,RoC-Pune,08/05/2013,MILAP SOCIETY NEAR VAKIL NAGAR ERANDWANE PLOT NO. 21 S NO 14/1+2+3+6+7 PUNE MH 411004 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
551,MANGO TREE HR CONSULTANCY PRIVATE LIMITED,U74140DL2011PTC217883,RoC-Delhi,20/04/2011,3A/91 1ST FLOOR WEA KAROL BAGH DELHI DL 110005 IN,₹ 200000,₹ 200000,29/09/2017,31/03/2017,Active
552,PAREEKRAMA ENGINEERING PVT LTD,U74140PN1994PTC076852,RoC-Pune,28/02/1994,S NO 25 HOMY HEIGHTS PUNESATARA ROAD DHANKARWADI PUNE Maharashtra INDIA 411043,₹ 1000000,₹ 143000,,,STRIKE OFF
553,JIA MANAGEMENT CONSULTANCY PRIVATE LIMITED,U74140KL2012PTC031892,ROC-Ernakulam,14/08/2012,VATTOLY TOWERS SRM ROAD ERNAKULAM Kerala INDIA 682018,₹ 100000,₹ 100000,,,ACTIVE
554,NAGOTKAR ENGINEERING PRIVATE LIMITED,U29299PN2005PTC020942,RoC-Pune,28/06/2005,"FLAT NO. 402, BLDG. NO. C-2 BRAHMA MAGESTIC NIBM ROAD, PUNE Maharashtra INDIA 411048",₹ 100000,₹ 100000,,,ACTIVE
555,TEKNOZO RENEW ENERGY PRIVATE LIMITED,U29299TZ2009PTC015186,RoC-Coimbatore,29/04/2009,483/2C ELLAI THOTTAM ROAD PEELAMEDU COIMBATORE TN 641004 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
556,S.R. SQUARE OVERSEAS LIMITED,U74899DL2000PLC107092,RoC-Delhi,02/08/2000,"112, HAUZ KHAS APARTMENTS SRI AURBINDO MARG NEW DELHI Delhi INDIA 110016",₹ 500000,₹ 500000,,,STRIKE OFF
557,NAINI STOCK-INVEST PRIVATE LIMITED,U74899DL1995PTC072580,RoC-Delhi,20/09/1995,"18 PLOT NO 75,NAVA KRANTI APARTMENT PATPARGANJ DELHI Delhi INDIA 110092",₹ 7500000,₹ 2813000,,,ACTIVE
558,DYNASMART SOLUTIONS PRIVATE LIMITED,U74999UP2018PTC103944,RoC-Kanpur,07/05/2018,FLAT NO 1104 AMAN CASTLE APARTMENTS PLOT NO 22 SECTOR 4 VAISHALI I.E SAHIBABAD GHAZIABAD Ghaziabad UP 201010 IN,₹ 100000,₹ 100000,,,Active
559,IDEAL TOWERS SERVICES PRIVATE LIMITED,U74140WB1998PTC087568,RoC-Kolkata,22/07/1998,57 DIAMOND HARBOUR ROAD KOLKATA West Bengal INDIA 700023,₹ 100000,₹ 100000,,,ACTIVE
560,A.K. PLANTATION PRIVATE LIMITED,U74899DL1995PTC067015,RoC-Delhi,31/03/1995,7A/1 RAJPURA ROAD CIVIL LINES DELHI Delhi INDIA 110054,₹ 2500000,₹ 2060000,,,ACTIVE
561,PUROGEN CLEAN AIR SYSTEMS PRIVATE LIMITED,U29299KA2006PTC040901,RoC-Bangalore,09/11/2006,No 68/69 Sanman Colony Behind New bus Stand Hubli KA 580024 IN,₹ 1000000,₹ 930000,30/09/2013,31/03/2013,Active
562,GOLCONDA ELECTRIC PVT LTD,U31501TG1984PTC004577,RoC-Hyderabad,24/03/1984,"6-3-347/8A,DWARAKAPURI COLONY,PUNJAGUTTA HYDERABAD AP Telangana INDIA",₹ 750000,₹ 458000,,,ACTIVE
563,EARTHROUTES MARKETING SOLUTIONS PRIVATE LIMITED,U74992KA2019PTC121392,RoC-Bangalore,13/02/2019,"No. 245, Amarjyothi, HBCS Layout, Domlur BANGALORE Bangalore KA 560071 IN",₹ 1000000,₹ 100000,31/12/2020,31/03/2020,Active
564,G K SONS ENGINEERING ENTERPRISES PRIVATE LIMITED,U29253TN2007PTC064168,RoC-Chennai,03/07/2007,No.36 &amp; 37. SIDCO Industrial Estate Thirumudivakkam Chennai Kancheepuram TN 600044 IN,₹ 49500000,₹ 40400000,30/09/2016,31/03/2016,Active
565,ADHIK SOLUTIONS PRIVATE LIMITED,U74140DL2013ULT261991,RoC-Delhi,11/12/2013,F 153 Second floor West Vinod Nagar New Delhi East Delhi DL 110092 IN,₹ 100000,₹ 100000,30/10/2014,31/03/2014,Active
566,NISAAN ENGINEERING PRIVATE LIMITED,U29253PN2012PTC144841,RoC-Pune,26/09/2012,KHADENAGAR VANJARWADI POST. SAVAL BARAMATI Pune MH 413133 IN,₹ 10000000,₹ 100000,12/06/2017,31/03/2017,Active
567,BHELSIA TECHNOLOGY CLUSTER PRIVATE LIMITED,U29253TN2010PTC076891,RoC-Chennai,06/08/2010,D 87 DEVELOPED PLOTS ESTATE THUVAKUDI TRICHY Tiruchirappalli TN 620015 IN,₹ 500000,₹ 100000,,,Strike Off
568,NETWORKS PRIVATE LIMITED,U29308UP1975PTC004211,RoC-Kanpur,11/12/1975,2/4UPTRON ESTATE PANKI KANPUR UP Uttar Pradesh INDIA,₹ 500000,₹ 305000,,,ACTIVE
569,AIERSON TECHNOLOGY CO (INDIA) PRIVATE LIMITED,U32300DL2013PTC252460,RoC-Delhi,21/05/2013,LOWER GROUND FLOOR C-4/5 SAFDARJUNG DEVELOPMENT AREA NEW DELHI South Delhi DL 110016 IN,₹ 100000,₹ 100000,,,Active
570,ESCORTS EMPLOYEES ANCILLARIES LTD,U99999DL1901PTC005761,RoC-Delhi,01/01/1901,PLOT 20 SECTOR-6 FARIDABAD Haryana INDIA 121006,₹,₹,,,DORMANT
571,BENNETT ADVISORY SERVICES LIMITED,U74140DL2007PLC162846,RoC-Delhi,03/05/2007,10 DARYAGANJ NEW DELHI DL 110002 IN,₹ 1000000,₹ 500000,24/08/2017,31/03/2017,Active
572,FEMELLA FASHIONS LIMITED,U17121DL2007PLC165380,RoC-Delhi,29/06/2007,"11/5B, 1st FLOOR, PUSA ROAD NEW DELHI New Delhi DL 110005 IN",₹ 25000000,₹ 22226070,31/12/2020,31/03/2020,Active
573,BASTION 24X7 SECURITY SERVICES PRIVATE LIMITED,U93000DL2013PTC249571,RoC-Delhi,20/03/2013,81 -B VASANT PLACE MARKET SECTOR - 6 RAMA KRISHNA PURAM NEW DELHI South West Delhi DL 110022 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
574,DREAMZ INTERNATIONAL LIMITED,U74899DL2000PLC106915,RoC-Delhi,20/07/2000,G-11 UDYOG NAGAR MAIN ROHTAK ROAD NEW DELHI Delhi INDIA 110041,₹ 10000000,₹ 569000,,,ACTIVE
575,NEW JERCY FOUNDATIONS PVT. LTD,U74140TN1993PTC024351,RoC-Chennai,09/02/1993,"L-123,ANNA NAGAR,MADRAS-600102 MADRAS-600102 Tamil Nadu INDIA",₹ 100000,₹,,,STRIKE OFF
576,SAMAZMITRA SERVICES LIMITED,U51909WB2018PLC224980,RoC-Kolkata,08/03/2018,C/O GURU PADA MAITY JAGACHA HOSPITAL ROAD P.O. G I P COLONY HOWRAH Howrah WB 711112 IN,₹ 1000000,₹ 1000000,,,Active
577,SUSHRON ELECTRONICS PRIVATE LIMITED,U31909TG2004PTC042933,RoC-Hyderabad,23/03/2004,"#Flat No. 401, 1-11-254-255, Vijasri Nivas, BEGUMPET, HYDERABAD SECUNDERABAD Telangana INDIA 500016",₹ 4000000,₹ 2000000,,,ACTIVE
578,JEEVAN AADHAR WELFARE FOUNDATION,U74999MH2017NPL294884,RoC-Mumbai,16/05/2017,ROOM NO 5KHURDHAN PASI CHAWLMULGAON DONGARIOLD ASHRAM ANDHERI KURLA ROAD ANDHERI EAST MUMBAI Mumbai City MH 400093 IN,₹ 100000,₹ 100000,,,Active
579,HI-TEKS HYD BUSINESS SOLUTIONS PRIVATE LIMITED,U72200TG2004PTC042930,RoC-Hyderabad,23/03/2004,"H.NO.69, ROAD NO.13,BANJARA HILLS, HYDERABAD-34. HYDERABAD-34. Telangana INDIA",₹ 1000000,₹ 1000000,,,DORMANT
580,OM GURUDEV ENTERPRISES PRIVATE LIMITED,U29253TN2005PTC056662,RoC-Chennai,20/06/2005,"963/15,POONAMALLEE HIGH ROAD, CHENNAI Tamil Nadu INDIA 600084",₹ 5000000,₹ 101800,,,ACTIVE
581,HIPOWER SYSTEMS PVT LTD,U32109WB1984PTC037145,RoC-Kolkata,31/01/1984,19 R N MUKHERJEE ROAD KOLKATA West Bengal INDIA 700001,₹ 500000,₹ 200000,,,STRIKE OFF
582,VINAYAK EMBROIDERIES PRIVATE LIMITED,U74900WB2009PTC134955,RoC-Kolkata,06/05/2009,21 GOENKA LANE 2ND FLOOR KOLKATA WB 700007 IN,₹ 1000000,₹ 1000000,30/09/2017,31/03/2017,Active
583,KABSUL ENTERPRISES PRIVATE LIMITED,U27300KL2017PTC050174,RoC-Ernakulam,23/08/2017,702 MACHINCHERI PARAPPANANGADI MALAPPURAM Malappuram KL 676303 IN,₹ 100000,₹ 100000,,,Active
584,GREEN TOURIST SERVICES PRIVATE LIMITED,U74899DL1995PTC067019,RoC-Delhi,31/03/1995,SHOP 9 SECTOR 2 MARKET R K PURAM NEW DELHI Delhi INDIA 110022,₹ 5000000,₹ 2186200,,,ACTIVE
585,DAZZLE ONLINE STREAM PRIVATE LIMITED,U93000KA2015PTC081357,RoC-Bangalore,03/07/2015,No 2 Sai Prabhu No. 8 Sirur Park B Street Next to New Krishna Bhavan Sheshadripuram Bangalore KA 560020 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
586,BUSINESS ASSOCIATES (DELHI) PRIVATE LIMITED,U74140DL1984PTC018889,RoC-Delhi,04/08/1984,"C-6/15, FIRST FLOOR, VASANT VIHAR NEW DELHI Delhi INDIA 110057",₹ 500000,₹ 500000,,,ACTIVE
587,BELIEVE CORPORATION (INDIA) PRIVATE LIMITED,U31501MH2014PTC252364,RoC-Mumbai,22/01/2014,H. NO.1151 OTUR ROAD KALWAN NASHIK Nashik MH 423501 IN,₹ 500000,₹ 500000,,,Active
588,MUNISU CABLE INDUSTRIES PVT.LTD.,U31300MH1993PTC071147,RoC-Mumbai,16/03/1993,"UNIT NO.6&7, RUKMA UDYOGNAGAR, PLOT NO.37, BOMBAY NASIK HIGHWAY, OPP ASANGAON VILLAGE,SHAHPUR THANE Maharashtra INDIA 421601",₹ 2500000,₹ 2270400,,,ACTIVE
589,RELEMAC TECHNOLOGIES PRIVATE LIMITED,U32300DL2009PTC191859,RoC-Delhi,03/07/2009,"HOUSE NO 1449/27, 30FEET ROAD, LONI ROAD DURGAPURI SHAHDARA DL 110093 IN",₹ 100000000,₹ 82177400,31/12/2020,31/03/2020,Active
590,SIMON PROPERTIES PRIVATE LIMITED,U70109WB2011PTC168132,RoC-Kolkata,26/09/2011,2 LAL BAZAR STREET KOLKATA WB 700001 IN,₹ 500000,₹ 384000,03/07/2017,31/03/2017,Active
591,SARASONS ENGINEERING AND MARKETING PVT.LTD.,U29259GJ1991PTC015018,RoC-Ahmedabad,05/02/1991,"3RD FLOOR, `DARSHAK'14/A, SWASTIK SOCIETY, PUNJABI HALL LANE,NAVARANGPURA, AHMEDABAD Gujarat INDIA",₹ 200000,₹ 200,,,STRIKE OFF
592,SHREESHYLA HOROLOGICALS PRIVATE LIMITED,U31909KA1971PTC002047,RoC-Bangalore,25/05/1971,SHREESHYLA  KANAKAPURA ROAD BANGALORE Karnataka INDIA 560062,₹ 200000,₹ 1000,,,UNDER LIQUIDATION
593,MARK INFOSYSTEMS PRIVATE LIMITED,U72200RJ2013PTC041411,RoC-Jaipur,06/02/2013,B-104 ROSEWOOD APPARTMENT SIRSI ROAD JAIPUR Jaipur RJ 302021 IN,₹ 100000,₹ 100000,30/09/2013,31/03/2013,Active
594,GETECH EQUIPMENTS INTERNATIONAL PRIVATE LIMITED,U29253TG2011PTC072000,RoC-Hyderabad,03/01/2011,Plot No. 200/12 phase-II IDA Cherlapally HCL P.O Hyderabad TG 500051 IN,₹ 60000000,₹ 45817000,30/09/2015,31/03/2015,Active
595,AIR POLLUTION CONTROL EQUIPMENTS & SYSTEMS PRIVATE LIMITED,U29309TN1996PTC037110,RoC-Chennai,11/12/1996,"NO.8 SECOND MAIN ROAD,GANDHI NAGAR, ADAYAR, MADRAS 600 020 ADAYAR, MADRAS 600 020 Tamil Nadu INDIA",₹ 500000,₹ 100000,,,ACTIVE
596,SAKHESHWARI SABZIWAALA PRIVATE LIMITED,U15127CT2018PTC008760,RoC-Chhattisgarh,11/09/2018,"shop no 70 alankar complex, power house bhilai bhilai Durg CT 490011 IN",₹ 100000,₹ 100000,17/07/2020,31/03/2020,Active
597,R.R.CIRCUITS PVT LTD,U31200TG1985PTC005387,RoC-Hyderabad,21/03/1985,"8-2-596/B,RD.NO.10,BANJARAHILLS,HYDERABAD Telangana INDIA",₹ 500000,₹ 2000,,,DORMANT
598,GODAVARI GRAPHICS PRIVATE LIMITED,U29294MH2005PTC152827,RoC-Mumbai,26/04/2005,54-A C WING RAJ INDUSTRIALCOMPLEX OFF MILITARY ROAD ANDHERI EAST MUMBAI Maharashtra INDIA 400059,₹ 5000000,₹ 5000000,,,ACTIVE
599,SUNITA S. KUNDAN INFRASTRUCTURE PRIVATE LIMITED,U45201BR2013PTC020395,RoC-Patna,25/05/2013,MAURIYANA NAGAR. P.O: ASHIYANA NAGAR PATNA Patna BR 800025 IN,₹ 1000000,₹ 1000000,28/09/2017,31/03/2017,Active
600,APEX HEALTH AND WELLNESS PRIVATE LIMITED,U85190MH2016PTC284248,RoC-Mumbai,29/07/2016,104 PLT A TRISHUL COMPLEX BLD SHINDHI SOC WADAVALI VLG CHEMBUR MUMBAI Mumbai City MH 400071 IN,₹ 100000,₹ 100000,,,Active
601,SHREESHYLA METAL TRADERS LIMITED,U31909KA1971PLC002024,RoC-Bangalore,15/03/1971,"SHREESHYLA, KANAKPURA RD.,BANGALORE - 11. BANGALORE Karnataka INDIA 560011",₹ 250000,₹ 1000,,,DORMANT
602,JET FASTENERS PRIVATE LIMITED,U29268KA1971PTC002005,RoC-Bangalore,24/02/1971,"6TH MILE,TUMKUR ROAD,YESHWANTHPUR,BANGALORE BANGALORE Karnataka INDIA 560022",₹ 1000000,₹ 1000000,,,ACTIVE
603,STANSENSE TRADING AND FINANCE PRIVATE LIMITED,U29299MH1996PTC101258,RoC-Mumbai,18/07/1996,"SAHAYOG, FLAT NO. 5,DATAR COLONY, PLOT NO. 58, BHANDUP (E) MUMBAI 400 042 Maharashtra INDIA",₹ 100000,₹,,,DORMANT
604,ESSEREL ELASTOMERS PRIVATE LIMITED,U33119KA1987GAT008351,RoC-Bangalore,12/05/1987,"797,9TH MAIN RD.III STAGE IIIBLOCK W.C.R.BASAVESWARANAGAR, ,BANGALORE BANGALORE Karnataka INDIA",₹ 100000,₹ 2000,,,STRIKE OFF
605,WINDRIS INDIA PRIVATE LIMITED,U31501PN2013PTC146067,RoC-Pune,18/01/2013,76-81/44 Omnkareshwar Co-op Hsg Soc. Sahakarnagar No. 1 Pune Pune MH 411009 IN,₹ 500000,₹ 100000,30/09/2017,31/03/2017,Active
606,NAVAZ EXIM PRIVATE LIMITED,U51909KA1989PTC009836,RoC-Bangalore,13/02/1989,"3D, PALMGROVE TOWERS, 19, PALMGROVE ROAD BANGALORE - 47. GROVE ROAD, BANGALORE Karnataka INDIA",₹ 100000,₹ 100000,,,STRIKE OFF
607,SIGNORA POWER TECHNOLOGY PRIVATE LIMITED,U31109KA1997PTC022263,RoC-Bangalore,21/05/1997,"13, 1ST CROSS,RAJARAM MOHAN ROY EXTN BANGALORE BANGALORE Karnataka INDIA 560027",₹ 500000,₹ 100000,,,STRIKE OFF
608,AGNEE TRANSMISSIONS (INDIA) PRIVATE LIMITED,U31200RJ2005PTC021458,RoC-Jaipur,14/10/2005,"F-557,1-P-1-A,KOTA KOTA KOTA Rajasthan INDIA",₹ 5000000,₹ 5000000,,,ACTIVE
609,ELECTROSHAKTI IMPEX PRIVATE LIMITED,U74140DL2011PTC217705,RoC-Delhi,18/04/2011,188 VAISHALI PITAMPURA NEW DELHI North Delhi DL 110088 IN,₹ 500000,₹ 500000,30/09/2016,31/03/2016,Under Process of Striking Off
610,AAKRATI INFRAESTATE PRIVATE LIMITED,U70101MP2012PTC028467,RoC-Gwalior,18/05/2012,32 BHOOTA BAZAR BHIND Bhind MP 477001 IN,₹ 500000,₹ 500000,30/09/2014,31/03/2014,Strike Off
611,PRASHANT TELECOM PRIVATE LIMITED,U31908MH2012PTC233359,RoC-Mumbai,13/07/2012,Flat no 403 A bldg Kasaliwal marvel west Kasaliwal Marvels Beed By pass Aurangabad Aurangabad MH 431001 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
612,SORAKO CONSULTANTS PRIVATE LIMITED,U74140PN1992PTC066784,RoC-Pune,14/05/1992,"83, NATIONAL CO-OP HOUSING SOCIETY BANER ROAD, AUN PUNE Maharashtra INDIA 411007",₹ 100000,₹ 2000,,,STRIKE OFF
613,PRAYUKTI PUBLICATIONS PRIVATE LIMITED,U92419DL2013PTC258699,RoC-Delhi,04/10/2013,21B/9 NEW ROHATAK ROAD OPPOSITE LIC OFFICE NEAR LIBERTY CINEMA KAROL BAGH NEW DELHI Central Delhi DL 110005 IN,₹ 100000,₹ 100000,30/12/2014,31/03/2014,Active
614,SKYHORSE CRANE ENGINEERS PRIVATE LIMITED,U29253PN2011PTC140848,RoC-Pune,31/01/2011,Post Bori Khurad (Salwadi) Taluka Junner Pune Pune MH 412411 IN,₹ 100000,₹ 100000,,,Strike Off
615,LIFE ELECTRICALS PVT. LTD.,U29308UP1989PTC011386,RoC-Kanpur,16/11/1989,"24/18-B, SHYAM SUNDER BLDG.,THE MALL, KANPUR. THE MALL, KANPUR. Uttar Pradesh INDIA",₹ 500000,₹ 61000,,,STRIKE OFF
616,MINING AIDS (INDIA) PVT. LTD,U74140TN1993PTC024762,RoC-Chennai,06/04/1993,"FLAT NO.3,II FLOOR,34,VENKATNARAYANA ROAD, MADRAS-600035 MADRAS-600035 Tamil Nadu INDIA 600035",₹ 500000,₹ 500000,,,STRIKE OFF
617,ESS DEE NUTEK AUTOMATIONS PRIVATE LIMITED,U31401DL1996PTC078134,RoC-Delhi,15/04/1996,"D-784,SARASWATI VIHAR PITAMPURA DELHI Delhi INDIA 110034",₹ 2500000,₹ 2484000,,,ACTIVE
618,RADIX POLYMER SCIENCES PRIVATE LIMITED,U25209MP2014PTC033163,RoC-Gwalior,09/09/2014,M.22A/2A FIRST FLOOR SAKET NAGAR BHOPAL Bhopal MP 462024 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
619,CREATIVE MEDICAL PRODUCTS PRIVATE LIMITED,U33119GJ2003PTC042156,RoC-Ahmedabad,24/03/2003,10 SAMPATRAO COLONYOPP HOTEL STAVEL ALKAPURI VADODARA Gujarat INDIA 390007,₹ 100000,₹ 100000,,,ACTIVE
620,ADYA REALTORS PRIVATE LIMITED,U45400WB2007PTC115013,RoC-Kolkata,04/04/2007,74 LENIN SARANI KOLKATA WB 700013 IN,₹ 1200000,₹ 100000,29/09/2017,31/03/2017,Active
621,TEKNOVATIONS INFOSOLUTIONS PRIVATE LIMITED,U74140KL2012PTC031472,ROC-Ernakulam,19/06/2012,"VISAKH BHAVAN, ARASUMMOODU KULATHOOR P O TRIVANDRUM Kerala INDIA 695583",₹ 100000,₹ 100000,,,ACTIVE
622,S.L.KULKARNI CYRIL GRAPHICS PRIVATE LIMITED,U29294MH2005PTC152878,RoC-Mumbai,28/04/2005,"A/304 SEEMA,MAHAKALI CAVES RD,ANDHERI (E) MUMBAI Maharashtra INDIA 400093",₹ 2500000,₹ 500000,,,ACTIVE
623,UTTAM ELECTRONICS PRIVATE LIMITED,U29301TN2000PTC043985,RoC-Chennai,21/01/2000,"50, TRAVELLERS BUNGLOW ROAD,MADURAI - 625 010. MADURAI - 625 010. Tamil Nadu INDIA",₹ 1000000,₹ 20000,,,UNDER PROCESS OF STRIKING OFF
624,SBG ESTATE PRIVATE LIMITED,U45201GJ2008PTC053353,RoC-Ahmedabad,25/03/2008,4/1 Goverdhan Apartment Opp. Utakarsh Petrol Pump Karelibaug Vadodara Vadodara GJ 390018 IN,₹ 100000,₹ 100000,30/09/2010,31/03/2010,Converted to LLP and Dissolved
625,NICHENAMETLA WIND POWER PRIVATE LIMITED,U31909TG2002PTC038707,RoC-Hyderabad,27/03/2002,"303, J.V.R.RESIDENTS NO.7-1-1-218/1, AMEERPET HYDERABAD 500 016, ANDHRA PRADESH Telangana INDIA",₹ 500000,₹,,,DORMANT
626,L N P INFO MERCHANDISE PRIVATE LIMITED,U74900KA2011PTC060354,RoC-Bangalore,12/09/2011,NO.82 Satyhashree Venkataswamappa Layout OPP:13th Main AGS Layout BSK 3rd Stage Bangalore Bangalore KA 560061 IN,₹ 100000,₹ 100000,,,Under Process of Striking Off
627,NGX LABS PRIVATE LIMITED,U74995PN2017PTC169721,RoC-Pune,31/03/2017,FLAT NO. 1 NAKSHATRA APARTMENT 1ST FLOOR S.NO. 64/1NEAR VASANT VIHAR BANER PUNE Pune MH 411021 IN,₹ 1000000,₹ 192760,,,Active
628,GOURMET GURUS HOTEL AND RESTAURANT CONSULTANCY PRIVATE LIMITED,U55101TG2009PTC065536,RoC-Hyderabad,16/10/2009,FLAT 501 SUMITRA MANSION 6-3-609/13 ANAND NAGAR COLONY KHAIRTABAD HYDERABAD Hyderabad TG 500004 IN,₹ 100000,₹ 100000,30/09/2013,31/03/2013,Strike Off
629,VIBGYOR TOTAL SOLUTIONS PRIVATE LIMITED,U74999DL2015PTC286041,RoC-Delhi,06/10/2015,Plot No.-55 Indra Park Uttam Nagar New Delhi West Delhi DL 110059 IN,₹ 100000,₹ 100000,,,Active
630,VED CONSULTANCY SERVICES PRIVATE LIMITED,U30007MH2003PTC143253,RoC-Mumbai,21/11/2003,C/37 MUNICIPAL BUILDINGSION AGARWADA MUMBAI Maharashtra INDIA 400022,₹ 100000,₹ 100000,,,ACTIVE
631,HUNK INTELLIGENCE SERVICES PRIVATE LIMITED,U74920MH2009PTC192953,RoC-Mumbai,03/06/2009,N-121 Shantisagar CHS Ltd Ghatkopar(E) Mumbai Mumbai City MH 400077 IN,₹ 100000,₹ 100000,,,Strike Off
632,BADAMI PROPERTIES PRIVATE LIMITED,U45201GJ2008PTC053345,RoC-Ahmedabad,25/03/2008,4/1 Goverdhan Apartment Opp. Utakarsh Petrol Pump Karelibaug Vadodara Vadodara GJ 390018 IN,₹ 100000,₹ 100000,30/09/2010,31/03/2010,Converted to LLP and Dissolved
633,ECLIPSE FINANCIAL SERVICES PRIVATE LIMITED,U74140MH2006PTC164555,RoC-Mumbai,14/09/2006,F-201 SUMER CASTLE CASTLE MILL NAKA LBS MARG THANE MH 400601 IN,₹ 500000,₹ 100000,28/09/2015,31/03/2015,Strike Off
